"Silvina Ramírez","Conocí a Nino en el Seminario internacional de filosofía del derecho de Vaquerías, Córdoba, en los años 90. Eran los primeros encuentros, y académicos de la talla de Garzón Valdés, Bulygin, Alchourrón, fueron los principales expositores. En esa época, joven adscripta a la Cátedra de filosofía del derecho de Caracciolo, formaba parte de la organización del seminario y me asignaron comentar un trabajo de uno de los invitados extranjeros. No recuerdo ni siquiera el tema, pero sí mi nerviosismo por presentar una crítica de una ponencia frente a personas referentes en el campo de estudio, sobre un argumento -que sí recuerdo- conocía superficialmente, pero que me obligaba a decir 'algo inteligente' frente a tamaño auditorio. En primera fila estaba Carlos Nino, quien me aplaudió vehementemente cuando terminé mi presentación, y me invitó a compartir la mesa del almuerzo. Todavía hoy el recuerdo me saca una sonrisa. Nino tenía esa capacidad de entusiasmar, de transmitir la importancia de una discusión, o sólo de reconocer la tarea bien hecha. Fue, sin lugar a duda, una distinción para mí. También un aprendizaje, de que un intelectual puede -y me atrevo a decir debería- ser humilde, no impostado, cercano, y sobre todo un maestro."
"Ignacio Giuffré","La expresión 'constitucionalismo deliberativo' aparece de la mano de Carlos Nino. James Bohman la utilizó por primera vez en su artículo 'The Coming of Age of Deliberative Democracy', de 1998, al advertir que la teoría de la democracia deliberativa, surgida en los años 80, comenzaba entonces a preocuparse por su institucionalización. Entre las obras que situó a la vanguardia de ese tránsito del ideal de la democracia deliberativa a la práctica institucional, destacó precisamente la de Nino. Desde entonces, quienes trabajamos por un constitucionalismo más democrático y deliberativo participamos en una conversación que él ayudó a inaugurar."
"Martín Farrell","En un congreso de Filosofía del Derecho en Munster Carlos leyó un excelente trabajo, del cual nunca le había oído hablar, y cuando le pregunté de dónde lo había sacado contestó: -""Lo escribí en el viaje. No puedo dormir en los aviones"" (Fue el mejor trabajo del congreso)."
"Manuel M. Novillo","Suele decirse que Juicio al mal absoluto es un libro especial, ambicioso. También se piensa que es muchos libros, a la vez, o que tiene muchos libros adentro. Uno de historia argentina, uno de filosofía del castigo y la responsabilidad, uno de análisis comparativo del derecho. No suele decirse que tiene además una biografía de Raúl Alfonsín, o mejor dicho que —habiendo escrito en inglés— Carlos Nino en sus páginas parece asistido por el espíritu del más recordado biógrafo, James Boswell, el hombre que escribió The Life of Samuel Johnson. Una obra que, en gran medida, es sobre cómo Boswell veía a Johnson, el máximo intelectual de Inglaterra y una personalidad rutilante, y sobre cómo él se sentía alrededor del hombre. Entusiasmado, emocionado, un poco humillado, pequeño y menor, a veces insignificante, pero también útil, valiente, importante, validado. Sin dudas, además de todos los demás méritos que cosechó Juicio al mal absoluto existe este otro, que Nino muestre con minuciosidad, pero sin temor ni vergüenza, lo que significa trabajar a la par de un hombre que escribió un capítulo de la historia."
"Agustina Ramón Michel","De Carlos Nino no tengo anécdotas personales; las diferencias geográficas y temporales lo impidieron. Sí puedo contar sintéticamente qué significan para mí su nombre y sus ideas. Primero, el vínculo entre el derecho y la democracia, que nunca ha sido obvio ni fácil. Segundo, una comunidad (intelectual pero no solamente) que comenzó en la Facultad de Derecho de la Universidad Nacional de Tucumán y se ha extendido a Buenos Aires, donde vivo. Finalmente, la confianza en la conversación pública, que exige, ante todo, confianza en el otro."
"Roberto Gargarrella","Carlos Nino y la conversación infinita. Quisiera comenzar recordando muy brevemente quién fue, y qué hizo Carlos Nino, dado que, por la absurda velocidad de las cosas, todo se convierte en viejo, y por tanto en poco interesante, al cabo de unos días (¡y Nino murió hace más de 30 años!). En mi opinión, que no es desinteresada ni distante, Carlos Nino fue, por un lado, el jurista más importante e influyente de América Latina, en el siglo XX. Señalo esto teniendo en mente sus contribuciones al debate regional, en torno a la cuestión presidencialismo-parlamentarismo (junto con autores como Juan Linz, Alfred Stepan o Roberto Unger); y también sus aportes a las reformas constitucionales de fines del siglo XX (ahí, en especial, a partir de su conocida crítica al híper-presidencialismo latinoamericano). Focalizándome en la Argentina, destacaría su protagonismo en el diseño del Juicio a las Juntas (en mi opinión, el hecho jurídico más trascendente en la historia jurídica nacional); y en las discusiones previas a lo que luego sería la reforma constitucional de 1994. Por otro lado, subrayaría también que Nino fue uno de los filósofos políticos más significativos de su tiempo, en el ámbito internacional. Digo esto porque, a partir de su justificación epistémica de la democracia, él lideró (junto con académicos con los que tenía buen diálogo, como Jürgen Habermas, Joshua Cohen, o Jon Elster), los entonces incipientes estudios sobre la democracia deliberativa; a la vez que sobresalió, dentro del ámbito anglosajón, a partir de sus escritos acerca de la justificación consensual de la pena (que fueron discutidos por Thomas Scanlon, Larry Alexander, o su gran amigo Owen Fiss). De mis tiempos de trabajo junto con él resaltaría, sin dudas, los años compartidos en el mítico Seminario de los Viernes (va con las mayúsculas que no le gustaban). En esos encuentros, Nino se mostraba a pleno. Ahí, junto con Marcela Rodríguez, Marcelo Alegre, Roberto de Michele, Gabriel Bouzat, Florencia Luna y varios otros amigos y colegas, conocimos a Nino en su mejor versión: brillante, generoso, muerto de risa, gracioso y torpe a la vez, imbatible e inclaudicable en las discusiones. Esas sesiones del Seminario lo fueron todo, para muchos de nosotros. Desde la 'puesta en escena', con todos los participantes sentados alrededor de la misma mesa, en el mismo plano; hasta su deslumbrante media hora de comienzo, con Nino introduciendo de modo inigualable el texto a ser discutido; y finalmente, y sobre todo, los democráticos debates que seguían después, en donde cualquiera podía tratar de contradecir a cualquiera (se tratara de un artículo de Sandel, MacKinnon, Rawls, Scanlon, o Dworkin), incluyendo, por supuesto, al propio Nino. Todo así, en sesiones que se desarrollaban sin mayor orden, sin jerarquías, sin formalismos ni reverencias (Nino podía estar fumando su pipa, y nosotros con las piernas apoyadas sobre la mesa). En cada uno de esos encuentros, Nino les respondía y los (nos) refutaba a todos, paciente e invencible: ya sea a algún alumno recién ingresado al seminario, que se obstinaba en defender una posición exótica o algo alucinada; ya sea a Ernesto Garzón Valdés, a quien buscaba demostrarle que estaba seriamente equivocado (primero durante la sesión del Seminario, luego persiguiéndolo a través de los pasillos de la Facultad, y finalmente montándose en el mismo taxi que tomara Ernesto, con rumbo desconocido); ya sea al mismo Bruce Ackerman, con el fin de mostrarle contundentemente las debilidades y falencias de su teoría sobre los 'momentos constitucionales.' Postales inolvidables de la conversación infinita, que dejaron marcas indelebles sobre todos nosotros (entonces, Nino-boys and girls), sobre nuestra labor académica, sobre nuestra vida."
"Isabel Cristina Jaramillo (Colombia)","Carlos Nino inspiró a generaciones de brillantes abogados a defender las instituciones. Atreverse a semejante hazaña en momentos de tanta desconfianza sigue enseñándonos hoy sobre el lugar de los profesores de derecho en la construcción de las democracias."
"Leonardo García Jaramillo (Medellín, Colombia)","Una Idea Urgente: Dice Fiss (Fiss, Owen. 'The Death of a Public Intellectual', cito de la versión manuscrita facilitada por el autor) que Nino no fue el primer filósofo que forjó su carrera adoptando proposiciones contradictorias. Defendía la objetividad de los juicios morales, es decir, que el valor de verdad de ciertos principios no dependía de opiniones, creencias ni culturas. Podría resultar difícil conciliar esta tesis con la defensa de la democracia deliberativa. '¿Qué valor puede tener la política democrática si existe una verdad moral objetiva?', se pregunta Fiss. Sin embargo, Nino se encuentra entre los grandes filósofos que enfrentaron proposiciones contradictorias para intentar conciliarlas. El resultado fue su conocida justificación epistémica de la democracia deliberativa. Las verdades objetivas no se descubren mediante la imposición elitista ni el dogmatismo religioso sino a partir de un procedimiento intersubjetivo y deliberativo (constructivismo ético). La deliberación democrática constituye el medio epistémico óptimo para descubrir los juicios morales correctos, objetivamente hablando, por lo cual la validez última del derecho positivo proviene de su capacidad para reflejar la moralidad objetiva alcanzada mediante procesos deliberativos. El derecho puede concebirse entonces como la codificación de dicha verdad representada en ciertos principios cuya existencia y contenido normativo no dependen de la agregación mayoritaria. Los neopopulismos belicosos emprenden 'guerras culturales' para reemplazar conquistas deliberadas durante décadas por dogmas de fe y polarizaciones identitarias. Al desmantelar el diálogo intersubjetivo se erosionan la búsqueda colectiva de la verdad y los fundamentos mismos del Estado constitucional. La deliberación pierde su poder legitimador y el derecho deja de ser un instrumento de verdad moral para convertirse en un mero canal de dominación política. Contra esto luchó Nino y esta lucha está más viva hoy que nunca."
"Alicia Ely Yamin (Estados Unidos)","Hay un verso del poeta británico William Wordsworth que dice: 'Lo que hemos amado, otros amarán, y les enseñaremos cómo'. Conocí a Nino ya bastante mayor, gracias a Roberto Gargarella, y mi aprecio por él es inseparable de la perspectiva con la que Gargarella me mostró su devoción por la obra de Nino y por qué era tan importante en Argentina y más allá. Fue mientras hacía mi doctorado en la UBA, después de haber ejercido como abogada de derechos humanos durante décadas y de ser profesora en la Facultad de Derecho de Harvard, cuando empecé a estudiar a Nino. En rápida sucesión, devoré Ética y derechos humanos; La Constitución de la democracia deliberativa y Juicio al mal absoluto, además de algunos artículos. La obra de Nino me hizo darme cuenta (y ser crítica) de un positivismo frágil que impregna gran parte de la producción académica sobre el derecho internacional de los derechos humanos. Nombrada por la Corte Constitucional de Colombia como perita independiente en la implementación de la sentencia T 760/08, exploré los conceptos de Nino sobre la democracia deliberativa en términos de las posibilidades (y limitaciones) de los recursos judiciales dialógicos o 'suaves' con respecto a la transformación de los sistemas de salud. En Harvard tengo el privilegio de intentar mantener viva la cadena, enseñando a estudiantes que, espero, lleguen a valorar algunas de las ideas de Nino que tanto han significado para mí."
"Daniela Pearce","Leí a Nino en la UBA, pero lo conocí en las reuniones que convoca el Dr. Gargarella. Allí reina la dinámica de su maestro: sin jerarquías de por medio, la humildad y la generosidad dan lugar al debate abierto y a la crítica rigurosa."
